Location,Country,County,CSV,Grid Reference,Latitude,Longitude,Elevation
THIRSK-SOWERBY,England,Yorkshire North Riding,THIRSK-SOWERBY-2.csv,SE432812,54.225,-1.339,105
THIRSK-SOWERBY,England,Yorkshire North Riding,THIRSK-SOWERBY-3.csv,SE433811,54.224,-1.337,115
THIXENDALE,England,Yorkshire East Riding,THIXENDALE.csv,SE843610,54.038,-0.714,425
THIXENDALE,England,Yorkshire East Riding,THIXENDALE-2.csv,SE842611,54.039,-0.716,425
THORNBURY-THORNBURY-PARK,England,Gloucestershire,THORNBURY-THORNBURY-PARK.csv,ST634908,51.615,-2.530,70
THORNEY-WRYDE-HOUSE,England,Cambridgeshire,THORNEY-WRYDE-HOUSE.csv,TF316046,52.623,-0.057,7
THORNTON-CURTIS,England,Lincolnshire,THORNTON-CURTIS.csv,TA088179,53.646,-0.356,66
THORNTON-HEATH-THORNTON-LODGE,England,Surrey-stayed-Surrey,THORNTON-HEATH-THORNTON-LODGE.csv,TQ323685,51.400,-0.100,172
THORNTON-RESERVOIR-LEICESTER,England,Leicestershire,THORNTON-RESERVOIR-LEICESTER.csv,SK473072,52.660,-1.302,371
THORPE-MANDEVILLE,England,Northamptonshire,THORPE-MANDEVILLE.csv,SP533449,52.100,-1.223,530
THRAPSTON-DRAYTON-HOUSE,England,Northamptonshire,THRAPSTON-DRAYTON-HOUSE.csv,SP962799,52.409,-0.587,220
THRAPSTON-ISLIP,England,Northamptonshire,THRAPSTON-ISLIP.csv,SP987789,52.399,-0.551,145
THRAPSTON-ISLIP-FURNACES,England,Northamptonshire,THRAPSTON-ISLIP-FURNACES.csv,SP971783,52.394,-0.574,150
THRELKELD-BLENCATHRA,England,Cumberland,THRELKELD-BLENCATHRA.csv,NY302255,54.620,-3.082,885
THROCKLEY-FILTERS,England,Northumberland,THROCKLEY-FILTERS.csv,NZ153668,54.996,-1.762,300
THURSO-BUCKIES,Scotland,Caithness,THURSO-BUCKIES.csv,ND109633,58.549,-3.533,240
THURSO-DUNNET-HEAD,Scotland,Caithness,THURSO-DUNNET-HEAD.csv,ND203768,58.672,-3.376,331
THURSO-HOLBURN-HEAD,Scotland,Caithness,THURSO-HOLBURN-HEAD.csv,ND107707,58.615,-3.539,68
THURSTON,Scotland,East Lothian (Haddington),THURSTON.csv,NT708742,55.960,-2.468,320
THWAITE-ORLANDO,England,Suffolk,THWAITE-ORLANDO.csv,TM114682,52.272,1.097,150
TICEHURST,England,Sussex,TICEHURST.csv,TQ6821130518,51.049,0.398,423
TICKENCOTE,England,Rutland,TICKENCOTE.csv,SK988094,52.673,-0.540,166
TILBURY-GRAYS-SEWAGE-WORKS,England,Essex,TILBURY-GRAYS-SEWAGE-WORKS.csv,TQ654758,51.457,0.379,9
TILLICOULTRY-MIX,Scotland,Clackmannanshire,TILLICOULTRY-MIX.csv,NS908972,56.155,-3.759,50
TILLICOULTRY-MIX,Scotland,Clackmannanshire,TILLICOULTRY-MIX-2.csv,NS923975,56.158,-3.736,200
TILLICOULTRY-MIX,Scotland,Clackmannanshire,TILLICOULTRY-MIX-3.csv,NS923975,56.158,-3.736,200
TILLICOULTRY-MIX,Scotland,Clackmannanshire,TILLICOULTRY-MIX-4.csv,NS916969,56.153,-3.746,71
TILLICOULTRY-MIX,Scotland,Clackmannanshire,TILLICOULTRY-MIX-5.csv,NS921969,56.153,-3.738,66
TILLICOULTRY-MIX,Scotland,Clackmannanshire,TILLICOULTRY-MIX-6.csv,NS925970,56.154,-3.732,80
TILNEY-ST-LAWRENCE-AYLMER-HALL,England,Norfolk,TILNEY-ST-LAWRENCE-AYLMER-HALL.csv,TF552147,52.708,0.296,9
TIPPERARY-HENRY-STREET,Ireland/Republic of Ireland,Tipperary,TIPPERARY-HENRY-STREET.csv,IS2007621826,52.348,-7.706,400
TIREE-AIRPORT,Scotland,Argyll,TIREE-AIRPORT.csv,NL976476,56.523,-6.918,25
TIREE-AIRPORT,Scotland,Argyll,TIREE-AIRPORT-2.csv,NL999446,56.497,-6.878,29
TIREE-HYNISH,Scotland,Argyll,TIREE-HYNISH.csv,NL985392,56.448,-6.895,33
TODHEAD-POINT,Scotland,Kincardineshire,TODHEAD-POINT.csv,NO870769,56.883,-2.215,100
TODMORDEN-FIELDEN-HOSPITAL,England,Yorkshire West Riding,TODMORDEN-FIELDEN-HOSPITAL.csv,SD965244,53.716,-2.055,650
TODMORDEN-SOURHALL-HOSPITAL,England,Yorkshire West Riding,TODMORDEN-SOURHALL-HOSPITAL.csv,SD918246,53.718,-2.126,1020
TOLETHORPE-HALL-STAMFORD,England,Rutland,TOLETHORPE-HALL-STAMFORD.csv,TF022103,52.681,-0.490,161
TONBRIDGE-HOOKER,England,Kent-stayed-Kent,TONBRIDGE-HOOKER.csv,TQ589465,51.196,0.274,225
TONGE-SITTINGBOURNE,England,Kent-stayed-Kent,TONGE-SITTINGBOURNE.csv,TQ933636,51.339,0.774,12
TONGUE,Scotland,Sutherland,TONGUE.csv,NC592587,58.494,-4.417,45
TONGUE,Scotland,Sutherland,TONGUE-2.csv,NC581608,58.512,-4.437,95
TONGUE,Scotland,Sutherland,TONGUE-3.csv,NC591569,58.478,-4.417,180
TONGUE,Scotland,Sutherland,TONGUE-4.csv,NC586585,58.492,-4.427,40
TOOMEBRIDGE,Ireland/Northern Ireland,Antrim,TOOMEBRIDGE.csv,IH988905,54.753,-6.466,59
TOOT-BALDON-POTLANDS,England,Oxfordshire,TOOT-BALDON-POTLANDS.csv,SP564002,51.698,-1.185,289
TORKSEY,England,Lincolnshire,TORKSEY.csv,SK837788,53.300,-0.746,18
TORKSEY,England,Lincolnshire,TORKSEY-2.csv,SK836780,53.292,-0.747,16
TOROSAY-CASTLE,Scotland,Argyll,TOROSAY-CASTLE.csv,NM727353,56.455,-5.690,18
TOROSAY-CASTLE,Scotland,Argyll,TOROSAY-CASTLE-2.csv,NM729351,56.454,-5.686,18
TOROSAY-CASTLE,Scotland,Argyll,TOROSAY-CASTLE-3.csv,NM729351,56.454,-5.686,18
TORPHICHEN-LOCHCOTE,Scotland,West Lothian (Linlithgow),TORPHICHEN-LOCHCOTE.csv,NS974737,55.945,-3.644,550
TORPOINT-TRETHILL-HOUSE,England,Cornwall,TORPOINT-TRETHILL-HOUSE.csv,SX377544,50.367,-4.283,200
TORQUAY-ABBEY-PARK,England,Devon,TORQUAY-ABBEY-PARK.csv,SX918635,50.461,-3.526,12
TORQUAY-ABBEY-PARK,England,Devon,TORQUAY-ABBEY-PARK-2.csv,SX909638,50.464,-3.539,27
TORSIDE-RES,England,Cheshire,TORSIDE-RES.csv,SK055983,53.482,-1.918,669
TORSIDE-RES,England,Cheshire,TORSIDE-RES-2.csv,SK055983,53.482,-1.918,669
TORSIDE-RES,England,Cheshire,TORSIDE-RES-3.csv,SK054985,53.483,-1.920,667
TORTWORTH-COURT,England,Gloucestershire,TORTWORTH-COURT.csv,ST693925,51.630,-2.445,264
TORTWORTH-SCHOOL,England,Gloucestershire,TORTWORTH-SCHOOL.csv,ST700930,51.635,-2.435,264
TORTWORTH-SCHOOL,England,Gloucestershire,TORTWORTH-SCHOOL-2.csv,ST709923,51.629,-2.421,264
TOTTENHAM-DRAYTON-ROAD,England,Middlesex-stayed-Middlesex,TOTTENHAM-DRAYTON-ROAD.csv,TQ335893,51.587,-0.074,54
TOTTENHAM-HOWARD,England,Middlesex-stayed-Middlesex,TOTTENHAM-HOWARD.csv,TQ336900,51.593,-0.072,50
TOTTENHAM-HOWARD,England,Middlesex-stayed-Middlesex,TOTTENHAM-HOWARD-2.csv,TQ336900,51.593,-0.072,50
TOTTENHAM-MIX,England,Middlesex-stayed-Middlesex,TOTTENHAM-MIX.csv,TQ334905,51.598,-0.075,63
TOTTENHAM-MIX,England,Middlesex-stayed-Middlesex,TOTTENHAM-MIX-2.csv,TQ334906,51.598,-0.075,60
TOTTENHAM-MIX,England,Middlesex-stayed-Middlesex,TOTTENHAM-MIX-3.csv,TQ336892,51.586,-0.073,50
TOTTENHAM-MIX,England,Middlesex-stayed-Middlesex,TOTTENHAM-MIX-4.csv,TQ339909,51.601,-0.068,47
TOTTERIDGE-WEST-LODGE,England,Hertfordshire,TOTTERIDGE-WEST-LODGE.csv,TQ233940,51.631,-0.220,410
TOWCESTER,England,Northamptonshire,TOWCESTER.csv,SP694486,52.131,-0.988,290
TOWCESTER-BRADDEN,England,Northamptonshire,TOWCESTER-BRADDEN.csv,SP647485,52.131,-1.056,404
TOWCESTER-BRADDEN,England,Northamptonshire,TOWCESTER-BRADDEN-2.csv,SP645484,52.130,-1.059,420
TOWCESTER-EASTON-NESTON,England,Northamptonshire,TOWCESTER-EASTON-NESTON.csv,SP702493,52.138,-0.976,340
TOWNLEY-HALL,England,Lancashire,TOWNLEY-HALL.csv,SD854309,53.775,-2.223,465
