Block Id,BlockType,TextType,Confidence,Top,Left,Polygon Points,Text
[809c5f3b-76d3-4afc-b194-39fc1006b04c],WORD,HANDWRITING,97.851,0.42918,0.09287,4,[0.00]
[6d5dded5-6f93-41de-909f-89115d06941d],WORD,HANDWRITING,98.889,0.42693,0.16245,4,[0.00]
[a79c109f-96ba-4a22-8b90-f4f3d6fb85d2],WORD,HANDWRITING,98.251,0.42519,0.23052,4,[0.00]
[cc50d3c6-e9e8-4551-aacd-49e3a2237020],WORD,HANDWRITING,96.590,0.42279,0.29859,4,[0.14]
[6b1ecf6a-ee1f-4902-b85f-1394bfa8c1d6],WORD,HANDWRITING,96.380,0.42166,0.36450,4,[0.14]
[7abc6c9a-51b2-4426-831e-bd2225376883],WORD,HANDWRITING,99.798,0.41977,0.43580,4,[0.20]
[25ed2f20-ac48-4b40-8e19-1e0affb175fe],WORD,HANDWRITING,99.060,0.42009,0.50166,4,[0.00]
[465b9b8d-3c32-4332-b7d2-6706ba881e78],WORD,HANDWRITING,96.502,0.41698,0.56878,4,[0.11]
[249ae983-9467-4352-83b4-8f0a7b5295f7],WORD,HANDWRITING,98.458,0.41624,0.64111,4,[0.00]
[1f282f83-499c-4d3f-b305-5e25dda4d8a2],WORD,HANDWRITING,94.511,0.41415,0.71263,4,[0.00]
[bec036af-e143-4c70-9880-6d5f64248804],WORD,HANDWRITING,97.538,0.41236,0.78235,4,[0.50]
[3001a0ad-096e-4457-93d9-300d4b7c9c22],WORD,HANDWRITING,96.110,0.41173,0.84661,4,[0.00]
[330d3b14-82cf-422f-b90e-702bfbef08e6],WORD,PRINTED,99.818,0.41156,0.92839,4,[11]
[f80c751e-af55-408c-8ebb-a22c6e7390f3],WORD,PRINTED,97.613,0.43234,0.04149,4,[11]
[85bd10f2-4a2d-416f-9079-1b685bc1bf0c],WORD,HANDWRITING,99.393,0.44979,0.09200,4,[0.00]
[2b084ebf-0680-45fc-9c13-564f89c6bf32],WORD,PRINTED,99.154,0.44911,0.16385,4,[0.00]
[39e9fde7-6b96-40c5-90ed-8be11c6f76d3],WORD,HANDWRITING,97.817,0.44814,0.22694,4,[0.00]
[fa1f697a-e1a4-49e6-aa30-aa80af3eb24e],WORD,HANDWRITING,89.990,0.44394,0.43262,4,[0.41]
[b2c95629-af9f-4804-9de7-434adc544eda],WORD,HANDWRITING,93.397,0.43941,0.57278,4,[0.7]
[b534db2a-ea2d-4e44-84bd-03bece7600e1],WORD,HANDWRITING,99.579,0.43954,0.64049,4,[0.00]
[48d1d557-73d7-42dc-965e-b2877985d5e6],WORD,HANDWRITING,97.441,0.43674,0.71286,4,[0.00]
[a98311cd-057a-42c0-aaca-0c24451b88d7],WORD,HANDWRITING,84.987,0.43536,0.78091,4,[0.3]
[d29d1c31-1577-4085-9616-93ed42e7ba67],WORD,HANDWRITING,98.443,0.43512,0.84913,4,[0.00]
[ef7bafa5-bf36-4dfa-80fb-11014309d694],WORD,PRINTED,98.497,0.43755,0.92822,4,[12]
[215a4c71-cf95-4775-8514-c12c0021d965],WORD,PRINTED,69.728,0.45568,0.03961,4,[19]
[088670ae-3b5b-483b-bb23-89244f6193b3],WORD,HANDWRITING,91.661,0.47077,0.16027,4,[0.00]
[80c2fbd4-c02a-43a0-b7ec-27ef53d92078],WORD,HANDWRITING,90.601,0.47043,0.22678,4,[0.00]
[e773076b-ebb6-4c84-9944-b71768b4bfec],WORD,HANDWRITING,86.205,0.46844,0.29934,4,[0.000.05]
[511aae69-74ed-4d69-ba65-1568d503977a],WORD,HANDWRITING,99.601,0.46702,0.43584,4,[0.00]
[c3767e20-f1b9-4ffc-bd57-f3bbf3d85a72],WORD,HANDWRITING,99.905,0.46655,0.50217,4,[0.00]
[6b38d5c0-1448-4968-8fdd-c16b597b4dc6],WORD,HANDWRITING,97.553,0.46608,0.57210,4,[0.00]
[7d0d7257-f6fe-4ade-b993-e1f3a4703328],WORD,HANDWRITING,99.791,0.46393,0.64123,4,[0.00]
[6db66b97-9368-4a2d-94ab-5c3a796d7261],WORD,HANDWRITING,97.845,0.46198,0.71367,4,[0.00]
[74a150b9-4d83-4b0e-8334-0bf24a06381f],WORD,HANDWRITING,95.313,0.46110,0.78081,4,[0.22]
[33e94cde-78a8-4a72-84cf-4260d8c0d03e],WORD,HANDWRITING,99.720,0.45960,0.84937,4,[0.00]
[78809b4a-59a0-4689-9148-09f2fcaf2bcf],WORD,PRINTED,99.427,0.46064,0.92869,4,[13]
[ddd87e62-876e-4cef-9572-d268b3d4575d],WORD,PRINTED,99.738,0.47722,0.03824,4,[13]
